COD_EMPRESA	HOJA CB	Numero Fila	BODEGA	CODIGO	Posponer BUF	Posponer RED	Posponer GDB	Proveedor	Perfil	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Observaciones	Nuevo Buff Real	Buff Act	Ult Buffer	Buff Ant Estacion	Buff Estacional	Ingresos	Egresos	Calendario Estacional	Inicio Per	Fin Per	DUMMY_FIELD
1.90334E+11	CTJE.xlsm	30	BP-MATRIZ	06.176.0009	43333		43116	243 - 	243-T24-F12			100	Clasificación		1	=	1				240	240						43249	43375	
1.90334E+11	CTJE.xlsm	31	BP-MATRIZ	06.176.0007	43333		43151	243 - 	243-T24-F12			50	Clasificación		1	=	1				140	140						43249	43375	
1.90334E+11	CTJE.xlsm	32	BP-MATRIZ	06.176.0006	43333		43333	243 - 	243-T24-F12			150	Clasificación		1	=	1				100	100						43249	43375	
1.90334E+11	CTJE.xlsm	33	BP-MATRIZ	06.176.0005	43333		43116	243 - 	243-T24-F12			100	Clasificación		1	=	1				150	130						43249	43375	
1.90334E+11	CTJE.xlsm	34	BP-MATRIZ	06.175.0005	43333			243 - 	243-T24-F12			200	Clasificación		1	=	1				0	0						43249	43375	
1.90334E+11	CTJE.xlsm	35	BP-MATRIZ	06.175.0001				243 - 	243-T24-F12			1	clasificación		1	=	1				0	0						43280	43406	
1.90334E+11	CTJE.xlsm	36	BP-MATRIZ	06.173.0012	43333		43333	243 - 	243-T24-F12			40	Clasificación		1	=	1				100	100						43249	43375	
1.90334E+11	CTJE.xlsm	37	BP-MATRIZ	06.173.0009	43333		43116	243 - 	243-T24-F12			30	Clasificación		1	=	1				115	115						43249	43375	
1.90334E+11	CTJE.xlsm	38	BP-MATRIZ	06.173.0008	43333		43081	243 - 	243-T24-F12			100	Clasificación		1	=	1				450	450						43249	43375	
1.90334E+11	CTJE.xlsm	39	BP-MATRIZ	06.173.0007	43333		43180	243 - 	243-T24-F12			100	Clasificación		1	=	1				190	190						43249	43375	
